7.1	0.378938	1.79096	-1.03308
7.15	0.340712	1.75273	-1.07131
7.2	0.30204	1.71406	-1.10998
7.25	0.262901	1.67492	-1.14912
7.3	0.223275	1.6353	-1.18875
7.35	0.183142	1.59516	-1.22888
7.4	0.142484	1.55451	-1.26954
7.45	0.101286	1.51331	-1.31073
7.5	0.0595338	1.47155	-1.35249
7.55	0.0172133	1.42923	-1.39481
7.6	-0.0256863	1.38633	-1.43771
7.65	-0.0691747	1.34285	-1.4812
7.7	-0.11326	1.29876	-1.52528
7.75	-0.157948	1.25407	-1.56997
7.8	-0.203243	1.20878	-1.61526
7.85	-0.249149	1.16287	-1.66117
7.9	-0.295665	1.11636	-1.70769
7.95	-0.342792	1.06923	-1.75481
8	-0.390526	1.02149	-1.80255
8.05	-0.438864	0.973157	-1.85088
8.1	-0.487799	0.924222	-1.89982
8.15	-0.537323	0.874698	-1.94934
8.2	-0.587427	0.824594	-1.99945
8.25	-0.638099	0.773922	-2.05012
8.3	-0.689326	0.722695	-2.10135
8.35	-0.741095	0.670926	-2.15312
8.4	-0.793387	0.618634	-2.20541
8.45	-0.846186	0.565834	-2.25821
8.5	-0.899473	0.512548	-2.31149
8.55	-0.953226	0.458795	-2.36525
8.6	-1.00742	0.404599	-2.41944
8.65	-1.06204	0.349981	-2.47406
8.7	-1.11705	0.294969	-2.52907
8.75	-1.17243	0.239587	-2.58445
8.8	-1.22816	0.183864	-2.64018
8.85	-1.28419	0.127828	-2.69621
8.9	-1.34051	0.0715088	-2.75253
8.95	-1.39708	0.0149365	-2.80911
9	-1.45388	-0.0418569	-2.8659
9.05	-1.51086	-0.0988393	-2.92288
9.1	-1.568	-0.155977	-2.98002
9.15	-1.62526	-0.213238	-3.03728
9.2	-1.68261	-0.270586	-3.09463
9.25	-1.74001	-0.327986	-3.15203
9.3	-1.79743	-0.385405	-3.20945
9.35	-1.85483	-0.442806	-3.26685
9.4	-1.91217	-0.500153	-3.32419
9.45	-1.96943	-0.55741	-3.38145
9.5	-2.02656	-0.614543	-3.43858
9.55	-2.08353	-0.671514	-3.49556
9.6	-2.14031	-0.728288	-3.55233
9.65	-2.19685	-0.78483	-3.60887
9.7	-2.25312	-0.841104	-3.66515
9.75	-2.3091	-0.897075	-3.72112
9.8	-2.36473	-0.95271	-3.77675
9.85	-2.42	-1.00797	-3.83202
9.9	-2.47486	-1.06284	-3.88688
9.95	-2.52928	-1.11726	-3.9413
