Rosenbrock part
iter = 1 	 x = 0 	 y = 0 
iter = 118 	 x = 0.910955 	 y = 0.82953 
iter = 119 	 x = 0.918553 	 y = 0.843465 
iter = 120 	 x = 0.918553 	 y = 0.843465 
iter = 121 	 x = 0.926119 	 y = 0.857457 
iter = 122 	 x = 0.926119 	 y = 0.857457 
iter = 123 	 x = 0.933654 	 y = 0.871503 
iter = 124 	 x = 0.933654 	 y = 0.871503 
iter = 125 	 x = 0.937423 	 y = 0.878521 
iter = 126 	 x = 0.937423 	 y = 0.878521 
iter = 127 	 x = 0.941171 	 y = 0.885578 
iter = 128 	 x = 0.941171 	 y = 0.885578 
iter = 129 	 x = 0.944911 	 y = 0.892648 
iter = 130 	 x = 0.944911 	 y = 0.892648 
iter = 131 	 x = 0.948643 	 y = 0.899731 
iter = 132 	 x = 0.948643 	 y = 0.899731 
iter = 133 	 x = 0.952367 	 y = 0.906826 
iter = 134 	 x = 0.952367 	 y = 0.906826 
iter = 135 	 x = 0.956084 	 y = 0.913935 
iter = 136 	 x = 0.956084 	 y = 0.913935 
iter = 137 	 x = 0.959792 	 y = 0.921057 
iter = 138 	 x = 0.959792 	 y = 0.921057 
iter = 139 	 x = 0.963494 	 y = 0.928191 
iter = 140 	 x = 0.963494 	 y = 0.928191 
iter = 141 	 x = 0.967188 	 y = 0.935338 
iter = 142 	 x = 0.967188 	 y = 0.935338 
iter = 143 	 x = 0.970874 	 y = 0.942497 
iter = 144 	 x = 0.970874 	 y = 0.942497 
iter = 145 	 x = 0.974552 	 y = 0.949668 
iter = 146 	 x = 0.974552 	 y = 0.949668 
iter = 147 	 x = 0.978223 	 y = 0.956852 
iter = 148 	 x = 0.978223 	 y = 0.956852 
iter = 149 	 x = 0.981887 	 y = 0.964048 
iter = 150 	 x = 0.981887 	 y = 0.964048 
iter = 151 	 x = 0.985543 	 y = 0.971257 
iter = 152 	 x = 0.985543 	 y = 0.971257 
iter = 153 	 x = 0.989192 	 y = 0.978477 
iter = 154 	 x = 0.989192 	 y = 0.978477 
iter = 155 	 x = 0.991018 	 y = 0.982085 
iter = 156 	 x = 0.991018 	 y = 0.982085 
iter = 157 	 x = 0.992838 	 y = 0.985703 
iter = 158 	 x = 0.992838 	 y = 0.985703 
iter = 159 	 x = 0.994655 	 y = 0.989323 
iter = 160 	 x = 0.994655 	 y = 0.989323 
iter = 161 	 x = 0.996472 	 y = 0.992946 
iter = 162 	 x = 0.996472 	 y = 0.992946 
iter = 163 	 x = 0.998286 	 y = 0.996573 
iter = 164 	 x = 0.998286 	 y = 0.996573 
iter = 165 	 x = 0.999864 	 y = 0.99973 
iter = 166 	 x = 1.00002 	 y = 1.00004 
iter = 167 	 x = 0.999997 	 y = 0.999993 
iter = 168 	 x = 0.999999 	 y = 0.999999 
iter = 169 	 x = 1 	 y = 1 
iter = 170 	 x = 1 	 y = 1 
iter = 171 	 x = 1 	 y = 1 
Shooting method part
iter = 1 	 E = -12.9454 	  M(E) = 1.70666e+16 
iter = 2 	 E = -12.5719 	  M(E) = 9.46602e+15 
iter = 3 	 E = -12.1068 	  M(E) = 4.48645e+15 
iter = 4 	 E = -11.6877 	  M(E) = 2.26092e+15 
iter = 5 	 E = -11.2619 	  M(E) = 1.11256e+15 
iter = 6 	 E = -10.8494 	  M(E) = 5.52403e+14 
iter = 7 	 E = -10.4426 	  M(E) = 2.73256e+14 
iter = 8 	 E = -10.0444 	  M(E) = 1.35329e+14 
iter = 9 	 E = -9.65368 	  M(E) = 6.69717e+13 
iter = 10 	 E = -9.27089 	  M(E) = 3.31425e+13 
iter = 11 	 E = -8.89588 	  M(E) = 1.63963e+13 
iter = 12 	 E = -8.5287 	  M(E) = 8.10993e+12 
iter = 13 	 E = -8.16934 	  M(E) = 4.01026e+12 
iter = 14 	 E = -7.81781 	  M(E) = 1.98252e+12 
iter = 15 	 E = -7.47413 	  M(E) = 9.79813e+11 
iter = 16 	 E = -7.13829 	  M(E) = 4.84107e+11 
iter = 17 	 E = -6.81031 	  M(E) = 2.39116e+11 
iter = 18 	 E = -6.49019 	  M(E) = 1.18069e+11 
iter = 19 	 E = -6.17795 	  M(E) = 5.82797e+10 
iter = 20 	 E = -5.8736 	  M(E) = 2.8757e+10 
iter = 21 	 E = -5.57713 	  M(E) = 1.41842e+10 
iter = 22 	 E = -5.28858 	  M(E) = 6.99342e+09 
iter = 23 	 E = -5.00794 	  M(E) = 3.4466e+09 
iter = 24 	 E = -4.73523 	  M(E) = 1.69783e+09 
iter = 25 	 E = -4.47047 	  M(E) = 8.35959e+08 
iter = 26 	 E = -4.21367 	  M(E) = 4.11388e+08 
iter = 27 	 E = -3.96484 	  M(E) = 2.02337e+08 
iter = 28 	 E = -3.724 	  M(E) = 9.94572e+07 
iter = 29 	 E = -3.49118 	  M(E) = 4.88559e+07 
iter = 30 	 E = -3.26638 	  M(E) = 2.39824e+07 
iter = 31 	 E = -3.04964 	  M(E) = 1.17634e+07 
iter = 32 	 E = -2.84098 	  M(E) = 5.7652e+06 
iter = 33 	 E = -2.64043 	  M(E) = 2.82289e+06 
iter = 34 	 E = -2.44801 	  M(E) = 1.38081e+06 
iter = 35 	 E = -2.26377 	  M(E) = 674664 
iter = 36 	 E = -2.08774 	  M(E) = 329224 
iter = 37 	 E = -1.91998 	  M(E) = 160427 
iter = 38 	 E = -1.76054 	  M(E) = 78048 
iter = 39 	 E = -1.60948 	  M(E) = 37899.4 
iter = 40 	 E = -1.46688 	  M(E) = 18363.4 
iter = 41 	 E = -1.33284 	  M(E) = 8874.54 
